"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"2840","None","","","2006-98","","","Convocation programs","","","","","October 23, 2006","","","Musical concert program and tickets, October 19, 2006
Convocation and Installation program and invitation, October 22, 2006
Chancellor's Dinner program, October 22, 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peter Glenister, Library","","","","","1 file folder","","","October 2006","","","","None","","","","","Convocation Programs","","","",""
"2841","None","","","2006-100","","","Unit B, Bay 4, Shelf 4","","","","","October 27 2006","","","Inter-office memo and Deans' List 2005-2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dr. Susan Mumm, Dean of Arts and Science; Dr. Mary Lyon, Dean of Professional Studies; Dr. Jim Sharpe, Dean of Education","","","","","1 file folder","","","2005-2006","","","","None","","","","","Deans' Office","","","",""
"2842","None","","","2006-101","","","Faculty Writings","","","","","October 31, 2006","","","""Understanding Kerala's Paradoxes: The Problomatic of the Kerala Model of Development,"" by Joseph Tharamangalam in Kerala: The Paradoxes of Public Action and Development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 Volume","","","2006","","","","Joseph Tharamangalam is also the editor of this volume.","","","","","Faculty Writings","","","",""
"2843","None","","","2006-102","","","Unit B, Bay 4, Shelf 4","","","","","November 6, 2006","","","MSVU in the World booklet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Donna Boune-Tyson, University Librarian","","","","","1 booklet","","","2006","","","","None","","","","","MSVU Publications","","","",""
"2844","None","","","2006-103","","","Faculty Writings","","","","","November 8, 2006","","","The Navy, The Company, and Richard King: British Exploration in the Canadian Arctic 1829-1860, by Hugh. N. Wallace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 volume","","","1980","","","","None","","","","","Faculty Writings","","","",""
"2845","None","","","2006-104","","","Faculty Writings","","","","","November 13, 2006","","","Act/Cats bulletin/newsletter: volume 19, number 2. Created by Canadian Association for Translation Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Denise Nevo, Modern Languages Department","","","","","2 booklets","","","2006","","","","None","","","","","Faculty Writings","","","",""
"2846","None","","","2006-105","","","Faculty Writings","","","","","November 16, 2006","","","Patterns of Conflict Paths to Peace, edited by Larry Fisk and John Schellenberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 volume","","","2000","","","","None","","","","","Faculty Writings","","","",""
"2847","None","","","2006-106","","","Unit B, Bay 4, Shelf 4","","","","","November 23, 2006","","","Mount Saint Vincent 1946 yearbook
Spring Musicale program April 25 1944
College Mistress advice
Commencement Week program 1944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jane Gordon","","","","","1 yearbook","","","1944-46","","","","This material was given to Jane Gordon by her late husband's sister, Patricia McIntyre, who attended the Mount for a year in 1945-46.  Patricia saved money to pay for her own education, and could only afford a year, but she loved it.

Jane","","","","","Patricia McIntyre","","","",""
"2848","None","","","2006-107","","","Unit B, Bay 4, Shelf 5-6","","","","","November 23 2006","","","Box 1: expense reports, correspondence, conference planning materials, event posters and notices, personal information of past Chairs, news clips, syllabi, and final reports.

Conference Administration, April/May 1995
Conference Artwork, December 1994/May 1995
Conference Content, December 1994
Conference Correspondence, April/August 1995
Conference Mailing Lists, 1995
Conference Registration, April/May 1995
Conference Registrations (Original), March/May 1995
Conference Regrets, 1995
Conference Expenses, 1995
Teaching Workshops, 1994
Conference & Travel, 1993
Margit Eichler Business Cards/Bio/Pictures, 1992/1993
Untitled--Expenses, 1993
Reception 1992, Margit Eichler, 1992
Syllabus, 1992
Untitled--Address Change, April 1996
Conference 1993, February/April 1993
Conference, 1993
Registration (Conference 1993), 1993
Miscellaneous, 1992/1993
International Women's Day, MSVU Events, March 1995
International Women's Day, Halifax Events, March 1995
CASCA Conference, May 1994
Krishna Ahooja-Patel (Final Report), 1991
Dr. Marguerite Andersen (Final Report), 1988
Professor Thelma McCormack (Clippings), 1986
Maureen McNeil--Syllabus, 1995
Maureen McNeil Facts, 1994/1995
Maureen McNeil (Miscellanous), 1996/1997
Introduction of Dr. Maureen McNeil, 1993/1994

Box 2: expensive reports, correspondence, conference planning and execution materials, event posters and notices, Women's Work and Wellbeing conference reports, Marilyn Waring public lecture planning/execution materials, promotinal materials and correspondence, WWW conference kits, presentation materials, conference evaluations.

Untitled--SSHRC reference, other correspondence, 1998/1999
Women Work & Wellness in Atlantic Canada--SSHRC application, letter from Alexa McDonough, 1997
WWW Lecture Info-Out--Correspondence re: Marilyn Waring lecture, April 1998
Women Work & Wellbeing Presentation--reports, evaluations, correspondence, 1998
Nancy Rowell Jackson Chair in WS--Marilyn Waring (Correspondence, report), 1998
WWW Deposits, April/July 1998
WWW Invoices, April/May 1998
List Services, March 1998
WWW Reimbursements, May/June 1998
Untitled--Contains report from WWW Conference & mailing list, March 1998
Untitled--Contains printing draft of WWW conference program, March 1998
WWW Info-out Conference--Correspondence re: WWW conference, April 1998
WWW Kit Folder, April 1998
WWWIAC--Correspondence re: WWW conference, report on conference, April/August 1998
WWWIAC--Equipment Request, 1998
WWW Program/Brochures/Posters, April 1998
Registrants--Registration for WWW Conference, March/April 1998
WWW Info-out Assistance Requested, April 1998
WWW Conference Evaluations, May 1998
Nancy Rowell Jackman Chair in WS--WWW Conference (correspondence, posters), 1998
WWW Accommodation Contracts & Correspondence, 1998
Arrangements--Pat & Hugh Armstrong, 1998
WWW Expenses--Marilyn Waring, 1998/1999 Budget, 1998/1999
WWW in Atlantic Canada--Report Drafts, 1998
WWW Conference Reports from individual presenters, August 1998
Marilyn Waring--reports, papers, speeches, correspondence, 1997/1998
Nancy Rowell Jackman Chair in WS--Research Contacts (Maureen McNeil), 1995
WWW Registrations & Correspondence, April/May 1998

Box 3: outlines, invoices/receipts, pamphlets, correspondence, application sheets, financial data, schedules/agendas, program guides, requisition forms, student worksheets, advertisements/posters, news releases, name lists, cassette tape (Evelyn Fox Keller), speeches/reports/essays, www final report diskette, newspaper/journal articles (original and copied), biographies/abstracts, financial/progress reports, photographs, secretarial services, invitations, vouchers, written plans/outlines, facimile forms, travel expense claims, MSVU calendar information, course outlines/syllabi, class lists, RSVP lists, past MSVU presidents lists, seminar and other event name lists, agreement forms, surveys, discussion questions/answers

Research Topics: Lawyers and Children, August 1 1993
Lecture Series: Brand, 1998-1999
Lecture Series: Fox Keller, 1998-1999
Lecture Series: General Correspondence, 1998-1999
Lecture Series: Expenses, 1998-1999
Lecture Series: Submissions (Candidates), 1998-1999
Lecture Series: Final Report, 1996
Lecture Series: Dr. Nina Colwill, 1995-1996
Lecture Series: Frances Fox Piven, 1995-1996
Untitled: Account Availability Reports, 1998-2000
WWW Conference Budget: Courier, Secretarial Services, Bookstore and Monthly Report, 1998
Office Set Up, 1992-2000
Sharon Batt 1999 Reception, 1999
Reception 1996 Magaret Conrad, 1996-1998
Reception '93 Guest List, Invitation, Catering, 1992-1993
Lists, 1993-1999
Margaret Conrad Contract Letter, Correspondence, Pictures, Final Report, 1996-1998
Reimbursement, 1996-1998
Research Assistant, 1996
Untitled: Margaret Conrad speeches/lectures, 1997
Margaret Conrad Lectures Given, 1996-1997
Conferences: Atlantic Association of Sociologists and Anthropologists, 1991-1997
Courses: HIST 4482, WS 4411, HIST 3304, WS 4412 Syllabus/Final Grades, 1996-1997
Courses: Sylvia Hamilton Reading etc, 1996-1999
Participants/Biographies/Abstracts/Sponsors, 1998
Women, Work and Well-Being Conference, 1997-1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lyndsay Carter, Assistant to Women's Studies Chair","","","","","3 boxes","","","1986-2000","","","","None","","","","","Nancy Rowell Jackman Chair in Women's Studies","","","",""
"2849","None","","","2006-108","","","Unit B, Bay 4, Shelf 6","","","","","December 5, 2006","","","Mount Saint Vincent Alumnae Toronto Chapter Events 1996-2006 poster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae Office","","","","","1 poster","","","2006","","","","None","","","","","University Advancement","","","",""
"2850","None","","","2006-109","","","Unit B, Bay 4, Shelf 4","","","","","December 6, 2006","","","Speaking Notes for Janice Landry from the Musical Concert celebrating the installment of President Kathryn Laurin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shani Pearson, Alumnae Relations, University Advancement","","","","","1 file folder","","","October 19, 2006","","","","None","","","","","Reference","","","",""
"2851","None","","","2007-01","","","Publications","","","","","Throughout 2006","","","MSVU Insight, Issue 87-135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","2 file folders","","","2006","","","","None","","","","","Public Affairs","","","",""
"2852","None","","","2007-02","","","Unit E, Bay 2, Shelf 7","","","","","Throughout 2006","","","Room bookings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conference Office","","","","","1 file folder","","","2006","","","","FC-35","","","","","Conference Services","","","",""
"2853","None","","","2007-03","","","Publications - Newspapers","","","","","Throughout 2006","","","The Sentinel Vol. 1, No. 4 (January 2006); Vol. 1, No. 5;  Vol. 2, No. 1; Vol. 2, No. 2; Vol. 2, No. 3 (November 2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","9 issues (some duplicates)","","","2006","","","","None","","","","","Students' Union","","","",""
"2854","None","","","2007-04","","","Publications","","","","","2006","","","Folia Montana Spring/Summer 2006; Fall 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae Relations Office","","","","","3 issues","","","2005-2006","","","","None","","","","","Alumnae Relations","","","",""
"2855","None","","","2007-05","","","Unit B, Bay 4, Shelf 4","","","","","Throughout 2006","","","Campus Bulletins
Presidential Search Update
Appointment of Dean of Arts and Science
Nancy&rsquo;s Chair Appointment for 2006
Retirement Anouncement (Lynn Theriault)
Annoucement &ndash; Faculty Relations Officer
Message from Dr. Mary Lyon (Patrick O&rsquo;Neill)
Annoucement from DLCE (Carolyn Nobes)
Annoucement of Re-Appointment &ndash; Dr. C. Hill
Message from President Kathryn Laurin
New Executive Assistant (Kim Campbell)
Annoucement Re Recent Research News
MSVU Ath Rec Newsletter October 13, 2006
President&rsquo;s Office Welcomes Deborah D&rsquo;Ambroise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","2006","","","","None","","","","","None","","","",""
"2856","None","","","2007-06","","","Unit B, Bay 4, Shelf 4","","","","","Throughout 2006","","","Miscellaneous Campus Newsletters
MSVU: It&rsquo;s a Small World (vol. 1, no. 6; vol. 1, no. 7; vol. 1, no. 8; vol. 1, no. 9; vol. 1, no. 10; vol. 1, no. 11)
Mystics Athletics & Recreation Newsletter (January 2006; February 2006; March/April 2006; November/December 2006)
The Mount Fitness Centre (Spring & Summer 2006)
The Bright Ideas Bulletin: an occasional publication of The Writing Initiatives Committee (#15 - March 2006; #16 - November 2006)
Research Office Announcement (November 21, 2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","2006","","","","None","","","","","None","","","",""
"2857","None","","","2007-07","","","Unit B, Bay 4, Shelf 4","","","","","Throughout 2006","","","Miscellaneous notices and memos
The Physioclinic 2006
Construction Bulletin #238
2006-2007 Holidays, summer hours and Christmas closure
MSVU&rsquo;s Fiscal Year-End
Bookstore Inventory
Summer Hours (Physioclinic and Health Office)
Invitation to reception for Dr. Sheva Medjuck
Spring 2006 Convocation Ceremonies
Invitation to a farewell reception celebrating Dr. Sheila A. Brown
Construction Bulletin #254
Invitation to a celebration for Lynne Theriault
Fall 2006 Convocation
MSVU Presidential Installation Community Events
Snow Storm Policy for 2006-2007
United Way Campaign
Construction Bulletin #255
World Wise Engage&hellip; Realize&hellip; Change: MSVU International Month November 2006
Open Meeting with the Campus Community
Bingo Bursaries
United Way Campaign Wrap-Up
Early Closure on Friday, December 22. 2006/Christmas Closure Luncheon 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","2006","","","","None","","","","","None","","","",""
"2858","None","","","2007-08","","","Unit B, Bay 4, Shelf 4","","","","","2006","","","MSVU Event Programs
Research Open House, February 8, 2006
The 5th Annual Multicultural Night, MSVU International Student Society, November 24, 2006
Community Act of Remembrance, December 6, 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","2006","","","","None","","","","","None","","","",""
"2859","None","","","2007-09","","","Unit B, Bay 4, Shelf 4","","","","","2006","","","MSVU Art Gallery Calendars (March through July 2006; August 2006 through March 2007)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","1 file folder","","","2006-2007","","","","None","","","","","Art Gallery","","","",""
"2860","None","","","2007-10","","","Unit B, Bay 4, Shelf 4","","","","","2006","","","Graduate Programs in Curriculum Studies brochure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Education Department","","","","","1 brochure","","","2006","","","","None","","","","","Education","","","",""
"2861","None","","","2007-11","","","Unit B, Bay 4, Shelf 4","","","","","2006","","","Alice Hagen 1872-1972 exhibit brochure
Exhibited at the MSVU Art Gallery July 8 &ndash; August 1, 1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","1 brochure","","","1976","","","","None","","","","","Art Gallery","","","",""
